CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IT,66C,1,1
1,NDPS,20,2,2
1,POCSO,8,3,3
2,POCSO,6,1,1
2,ARMS,25,2,2
3,MV,185,1,1
3,IT,66,2,2
3,IT,66D,3,3
4,NDPS,20,1,1
5,IPC,323,1,1
6,MV,185,1,1
6,IPC,420,2,2
6,ARMS,27,3,3
7,POCSO,4,1,1
7,ARMS,27,2,2
8,POCSO,4,1,1
8,IT,67,2,2
8,POCSO,6,3,3
9,ARMS,27,1,1
10,IT,66,1,1
10,POCSO,6,2,2
11,IT,66C,1,1
11,ARMS,27,2,2
12,ARMS,25,1,1
13,IT,66C,1,1
13,NDPS,20,2,2
14,ARMS,25,1,1
15,NDPS,21,1,1
15,MV,196,2,2
16,NDPS,22,1,1
17,IT,66,1,1
18,MV,196,1,1
18,MV,196,2,2
18,ARMS,27,3,3
19,ARMS,27,1,1
19,POCSO,10,2,2
20,NDPS,20,1,1
21,IPC,406,1,1
21,IT,66C,2,2
22,ARMS,27,1,1
22,ARMS,25,2,2
22,NDPS,20,3,3
23,POCSO,6,1,1
23,POCSO,8,2,2
23,ARMS,27,3,3
24,NDPS,8,1,1
25,IPC,324,1,1
25,NDPS,8,2,2
25,NDPS,8,3,3
26,IT,66,1,1
26,IPC,392,2,2
26,IT,66C,3,3
27,IT,66D,1,1
27,ARMS,27,2,2
27,MV,185,3,3
28,MV,184,1,1
29,POCSO,10,1,1
30,NDPS,20,1,1
31,IPC,354,1,1
32,NDPS,8,1,1
32,IPC,379,2,2
33,POCSO,10,1,1
34,IPC,376,1,1
35,NDPS,22,1,1
35,ARMS,25,2,2
36,POCSO,6,1,1
36,IPC,498A,2,2
36,MV,196,3,3
37,ARMS,25,1,1
37,ARMS,27,2,2
37,NDPS,8,3,3
38,POCSO,6,1,1
39,MV,185,1,1
40,ARMS,25,1,1
40,POCSO,10,2,2
41,NDPS,22,1,1
41,NDPS,20,2,2
41,IPC,307,3,3
42,IPC,376,1,1
42,POCSO,4,2,2
42,POCSO,10,3,3
43,ARMS,25,1,1
44,ARMS,27,1,1
44,POCSO,8,2,2
45,MV,185,1,1
45,MV,184,2,2
45,MV,196,3,3
46,IT,66C,1,1
