ActCode,SectionCode,SectionDescription,Active
IPC,302,IPC Section 302,1
IPC,307,IPC Section 307,1
IPC,323,IPC Section 323,1
IPC,324,IPC Section 324,1
IPC,354,IPC Section 354,1
IPC,376,IPC Section 376,1
IPC,379,IPC Section 379,1
IPC,392,IPC Section 392,1
IPC,406,IPC Section 406,1
IPC,420,IPC Section 420,1
IPC,498A,IPC Section 498A,1
NDPS,8,NDPS Section 8,1
NDPS,20,NDPS Section 20,1
NDPS,21,NDPS Section 21,1
NDPS,22,NDPS Section 22,1
POCSO,4,POCSO Section 4,1
POCSO,6,POCSO Section 6,1
POCSO,8,POCSO Section 8,1
POCSO,10,POCSO Section 10,1
ARMS,25,ARMS Section 25,1
ARMS,27,ARMS Section 27,1
MV,184,MV Section 184,1
MV,185,MV Section 185,1
MV,196,MV Section 196,1
IT,66,IT Section 66,1
IT,66C,IT Section 66C,1
IT,66D,IT Section 66D,1
IT,67,IT Section 67,1
