ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,2,2024-02-18,1,1,2,13,2,1,1,0
2,3,1,2022-05-25,1,6,38,411,12,5,1,0
3,4,2,2026-02-27,1,24,187,2075,48,6,1,0
4,5,1,2026-06-08,1,16,122,1340,31,9,1,0
5,5,1,2026-06-28,1,16,122,1340,31,8,1,0
6,7,1,2025-11-22,1,31,239,2663,62,11,1,1
7,11,1,2024-07-28,1,9,66,723,17,23,1,0
8,12,1,2025-08-24,1,27,211,2334,54,27,1,0
9,13,1,2023-08-13,1,4,28,307,8,28,1,0
10,15,2,2024-11-18,1,22,169,1843,43,32,1,0
11,16,1,2025-06-21,1,13,96,1061,26,33,1,0
12,16,1,2025-06-29,1,13,96,1061,26,34,1,0
13,19,1,2024-05-31,1,29,228,2531,57,38,1,0
14,19,1,2024-04-11,1,29,228,2531,57,39,1,0
15,20,1,2025-07-02,1,12,89,976,24,41,1,0
16,21,1,2025-06-26,1,28,222,2471,56,44,1,0
17,23,1,2025-08-21,1,5,35,389,9,47,1,0
18,25,1,2023-08-06,1,15,112,1232,30,51,1,0
19,28,1,2026-02-27,1,24,184,2021,48,58,1,0
20,29,2,2025-05-15,1,25,192,2122,49,59,1,0
21,29,1,2025-06-16,1,25,192,2122,49,60,1,0
22,32,1,2022-09-05,1,8,52,560,15,65,1,0
23,34,2,2026-06-22,1,19,140,1527,38,69,1,0
24,36,1,2026-03-25,1,1,3,22,1,75,1,0
25,37,1,2023-11-26,1,15,114,1252,30,78,1,0
26,37,1,2023-11-13,1,15,114,1252,30,76,1,0
27,38,1,2026-03-19,1,22,168,1834,44,80,1,0
28,38,1,2026-03-11,1,22,168,1834,44,81,1,0
29,39,1,2026-06-24,1,25,194,2141,49,84,1,0
30,39,2,2026-06-28,1,25,194,2141,49,83,1,0
31,40,1,2025-01-28,1,6,41,448,11,86,1,0
32,43,1,2024-04-22,1,21,155,1688,41,95,1,0
33,45,1,2022-11-24,1,23,172,1866,45,103,1,0
34,45,1,2022-11-29,1,23,172,1866,45,101,1,0
35,46,2,2025-04-08,1,19,142,1560,38,104,1,0
36,47,1,2023-03-20,1,21,159,1736,41,107,1,0
37,47,1,2023-03-12,1,21,159,1736,41,106,1,0
38,48,1,2022-12-16,1,13,96,1051,26,110,1,0
39,48,1,2022-12-23,1,13,96,1051,26,109,1,0
40,49,1,2024-12-30,1,27,215,2387,53,111,1,0
41,49,1,2024-12-19,1,27,215,2387,53,112,1,0
42,50,1,2026-05-27,1,28,222,2461,55,113,1,0
43,52,1,2022-02-14,1,12,91,1008,23,118,1,0
44,52,1,2022-03-26,1,12,91,1008,23,117,1,0
45,53,2,2026-06-28,1,9,66,725,17,119,1,0
46,55,2,2024-06-20,1,16,119,1314,31,125,1,0
47,55,2,2024-07-14,1,16,119,1314,31,124,1,0
48,57,2,2023-02-18,1,3,20,219,5,129,1,0
49,58,1,2023-06-22,1,24,189,2097,47,130,1,0
50,60,1,2025-01-10,1,11,81,888,22,132,1,0
51,61,1,2022-09-30,1,1,4,42,1,134,1,0
52,64,1,2024-12-05,1,9,61,661,18,141,1,0
53,64,1,2024-12-31,1,9,61,661,18,143,1,0
54,66,2,2022-06-19,1,9,61,654,17,146,1,0
55,67,1,2024-12-22,1,25,199,2213,49,149,1,0
56,67,2,2025-01-20,1,25,199,2213,49,150,1,0
57,71,1,2022-04-21,1,20,150,1632,40,158,1,0
58,71,2,2022-04-02,1,20,150,1632,40,160,1,0
59,72,2,2025-03-05,1,9,64,695,18,161,1,0
60,74,1,2025-02-19,1,9,61,657,17,166,1,0
61,75,2,2025-09-08,1,21,155,1690,41,168,1,0
62,76,1,2022-03-03,1,26,202,2241,51,169,1,0
63,77,1,2023-11-03,1,8,52,566,15,171,1,0
64,77,1,2023-10-30,1,8,52,566,15,170,1,0
65,79,1,2024-05-20,1,26,206,2295,51,179,1,0
66,81,1,2023-04-12,1,28,220,2441,55,182,1,0
67,82,1,2026-06-28,1,12,85,931,23,185,1,0
68,82,1,2026-06-28,1,12,85,931,23,187,1,0
69,83,1,2023-12-13,1,21,157,1709,42,188,1,0
70,84,1,2023-04-09,1,3,21,224,6,194,1,0
71,87,1,2025-01-05,1,12,87,956,23,205,1,0
72,88,1,2026-01-21,1,9,62,670,17,207,1,0
73,90,2,2026-01-28,1,15,114,1265,30,211,1,0
74,90,1,2026-01-27,1,15,114,1265,30,210,1,0
75,91,1,2025-04-13,1,1,9,98,1,213,1,0
76,92,1,2024-05-24,1,15,111,1220,30,214,1,0
77,93,1,2025-02-02,1,4,28,308,7,216,1,1
78,94,1,2023-01-20,1,30,234,2610,59,218,1,0
79,95,2,2022-05-01,1,1,11,125,1,220,1,0
80,96,1,2023-05-14,1,8,58,631,16,223,1,0
81,97,1,2025-08-17,1,20,147,1601,39,225,1,0
82,98,2,2022-06-18,1,30,237,2644,59,226,1,0
83,99,1,2023-10-22,1,14,106,1188,27,230,1,0
84,99,1,2023-10-26,1,14,106,1188,27,229,1,0
85,100,2,2026-03-13,1,3,21,221,5,232,1,0
86,101,2,2023-10-26,1,16,118,1303,32,235,1,0
87,102,1,2023-12-23,1,1,5,56,1,238,1,0
88,102,2,2023-12-17,1,1,5,56,1,237,1,0
