CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2025-12-20 00:00:00,A,1751
2,5,2026-06-28 00:00:00,A,1340
3,6,2023-05-28 00:00:00,A,1237
4,7,2026-01-05 00:00:00,A,2663
5,8,2025-07-06 00:00:00,B,1724
6,10,2023-05-26 00:00:00,A,694
7,11,2024-11-18 00:00:00,A,723
8,13,2023-12-16 00:00:00,A,307
9,14,2023-03-10 00:00:00,A,2522
10,16,2025-06-23 00:00:00,A,1061
11,17,2024-07-16 00:00:00,A,231
12,18,2026-02-11 00:00:00,C,225
13,19,2024-07-24 00:00:00,A,2531
14,20,2025-08-14 00:00:00,A,976
15,21,2025-06-22 00:00:00,A,2471
16,23,2025-08-13 00:00:00,A,389
17,25,2023-09-19 00:00:00,A,1232
18,28,2026-06-28 00:00:00,C,2021
19,29,2025-11-09 00:00:00,C,2122
20,30,2023-11-27 00:00:00,A,860
21,32,2022-12-19 00:00:00,C,560
22,35,2026-06-28 00:00:00,A,77
23,36,2026-05-24 00:00:00,A,22
24,37,2024-03-08 00:00:00,A,1252
25,38,2026-04-01 00:00:00,A,1834
26,42,2026-06-28 00:00:00,A,569
27,43,2024-08-09 00:00:00,A,1688
28,44,2026-06-22 00:00:00,A,2390
29,45,2022-11-15 00:00:00,A,1866
30,46,2025-05-31 00:00:00,A,1560
31,47,2023-08-02 00:00:00,A,1736
32,49,2025-05-08 00:00:00,B,2387
33,54,2025-08-15 00:00:00,B,76
34,55,2024-07-11 00:00:00,A,1314
35,56,2022-05-28 00:00:00,A,682
36,57,2023-05-25 00:00:00,A,219
37,61,2022-10-22 00:00:00,A,42
38,64,2025-04-08 00:00:00,B,661
39,65,2026-06-13 00:00:00,A,211
40,69,2025-06-26 00:00:00,B,1081
41,70,2026-06-17 00:00:00,A,439
42,72,2025-05-06 00:00:00,A,695
43,75,2025-09-28 00:00:00,A,1690
44,77,2023-11-23 00:00:00,A,566
45,78,2024-09-23 00:00:00,A,425
46,79,2024-11-05 00:00:00,A,2295
47,80,2025-10-15 00:00:00,A,1552
48,81,2023-06-30 00:00:00,B,2441
49,83,2023-12-15 00:00:00,A,1709
50,84,2023-09-06 00:00:00,B,224
51,87,2025-05-26 00:00:00,B,956
52,90,2026-05-29 00:00:00,A,1265
53,91,2025-08-27 00:00:00,A,98
54,96,2023-09-08 00:00:00,A,631
55,97,2025-09-29 00:00:00,A,1601
56,99,2023-12-09 00:00:00,A,1188
57,101,2024-01-16 00:00:00,A,1303
58,104,2023-05-03 00:00:00,A,384
59,105,2025-07-02 00:00:00,A,1044
60,106,2025-08-05 00:00:00,A,1039
61,109,2026-05-22 00:00:00,A,2452
62,110,2023-03-01 00:00:00,A,631
63,111,2023-09-13 00:00:00,B,264
64,114,2024-12-31 00:00:00,A,1241
65,115,2026-04-09 00:00:00,A,1621
66,116,2024-03-22 00:00:00,B,964
67,117,2026-03-26 00:00:00,A,225
68,119,2025-03-17 00:00:00,A,312
69,120,2026-06-28 00:00:00,A,2564
70,121,2023-01-07 00:00:00,A,1246
71,124,2023-03-10 00:00:00,A,1405
72,125,2024-01-06 00:00:00,A,2190
73,127,2022-05-02 00:00:00,A,34
74,128,2025-10-11 00:00:00,A,335
75,129,2024-02-10 00:00:00,A,2448
76,131,2023-02-02 00:00:00,A,407
77,132,2024-07-26 00:00:00,C,88
78,133,2024-04-30 00:00:00,A,1688
79,137,2026-05-31 00:00:00,B,2337
