UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bagalkot District Police Office,2,,1,1,1,1
2,Bagalkot Town PS 1,4,1,1,1,1,1
3,Bagalkot Town PS 2,4,1,1,1,1,1
4,Bagalkot Town PS 3,4,1,1,1,1,1
5,Bagalkot Town PS 4,4,1,1,1,1,1
6,Bagalkot Town PS 5,4,1,1,1,1,1
7,Bagalkot Town PS 6,4,1,1,1,1,1
8,Bagalkot Town PS 7,4,1,1,1,1,1
9,Bagalkot Town PS 8,4,1,1,1,1,1
10,Bagalkot Town PS 9,4,1,1,1,1,1
11,Bagalkot Town PS 10,4,1,1,1,1,1
12,Ballari District Police Office,2,,1,1,2,1
13,Ballari Town PS 1,4,12,1,1,2,1
14,Ballari Town PS 2,4,12,1,1,2,1
15,Ballari Town PS 3,4,12,1,1,2,1
16,Ballari Town PS 4,4,12,1,1,2,1
17,Ballari Town PS 5,4,12,1,1,2,1
18,Ballari Town PS 6,4,12,1,1,2,1
19,Belagavi District Police Office,2,,1,1,3,1
20,Belagavi Town PS 1,4,19,1,1,3,1
21,Belagavi Town PS 2,4,19,1,1,3,1
22,Belagavi Town PS 3,4,19,1,1,3,1
23,Belagavi Town PS 4,4,19,1,1,3,1
24,Bengaluru Rural District Police Office,2,,1,1,4,1
25,Bengaluru Rural Town PS 1,4,24,1,1,4,1
26,Bengaluru Rural Town PS 2,4,24,1,1,4,1
27,Bengaluru Rural Town PS 3,4,24,1,1,4,1
28,Bengaluru Rural Town PS 4,4,24,1,1,4,1
29,Bengaluru Urban District Police Office,2,,1,1,5,1
30,Bengaluru Urban Town PS 1,4,29,1,1,5,1
31,Bengaluru Urban Town PS 2,4,29,1,1,5,1
32,Bengaluru Urban Town PS 3,4,29,1,1,5,1
33,Bengaluru Urban Town PS 4,4,29,1,1,5,1
34,Bengaluru Urban Town PS 5,4,29,1,1,5,1
35,Bengaluru Urban Town PS 6,4,29,1,1,5,1
36,Bengaluru Urban Town PS 7,4,29,1,1,5,1
37,Bidar District Police Office,2,,1,1,6,1
38,Bidar Town PS 1,4,37,1,1,6,1
39,Bidar Town PS 2,4,37,1,1,6,1
40,Bidar Town PS 3,4,37,1,1,6,1
41,Bidar Town PS 4,4,37,1,1,6,1
42,Chamarajanagar District Police Office,2,,1,1,7,1
43,Chamarajanagar Town PS 1,4,42,1,1,7,1
44,Chamarajanagar Town PS 2,4,42,1,1,7,1
45,Chamarajanagar Town PS 3,4,42,1,1,7,1
46,Chamarajanagar Town PS 4,4,42,1,1,7,1
47,Chamarajanagar Town PS 5,4,42,1,1,7,1
48,Chamarajanagar Town PS 6,4,42,1,1,7,1
49,Chikballapur District Police Office,2,,1,1,8,1
50,Chikballapur Town PS 1,4,49,1,1,8,1
51,Chikballapur Town PS 2,4,49,1,1,8,1
52,Chikballapur Town PS 3,4,49,1,1,8,1
53,Chikballapur Town PS 4,4,49,1,1,8,1
54,Chikballapur Town PS 5,4,49,1,1,8,1
55,Chikballapur Town PS 6,4,49,1,1,8,1
56,Chikballapur Town PS 7,4,49,1,1,8,1
57,Chikballapur Town PS 8,4,49,1,1,8,1
58,Chikballapur Town PS 9,4,49,1,1,8,1
59,Chikballapur Town PS 10,4,49,1,1,8,1
60,Chikkamagaluru District Police Office,2,,1,1,9,1
61,Chikkamagaluru Town PS 1,4,60,1,1,9,1
62,Chikkamagaluru Town PS 2,4,60,1,1,9,1
63,Chikkamagaluru Town PS 3,4,60,1,1,9,1
64,Chikkamagaluru Town PS 4,4,60,1,1,9,1
65,Chikkamagaluru Town PS 5,4,60,1,1,9,1
66,Chikkamagaluru Town PS 6,4,60,1,1,9,1
67,Chitradurga District Police Office,2,,1,1,10,1
68,Chitradurga Town PS 1,4,67,1,1,10,1
69,Chitradurga Town PS 2,4,67,1,1,10,1
70,Chitradurga Town PS 3,4,67,1,1,10,1
71,Chitradurga Town PS 4,4,67,1,1,10,1
72,Chitradurga Town PS 5,4,67,1,1,10,1
73,Chitradurga Town PS 6,4,67,1,1,10,1
74,Chitradurga Town PS 7,4,67,1,1,10,1
75,Chitradurga Town PS 8,4,67,1,1,10,1
76,Dakshina Kannada District Police Office,2,,1,1,11,1
77,Dakshina Kannada Town PS 1,4,76,1,1,11,1
78,Dakshina Kannada Town PS 2,4,76,1,1,11,1
79,Dakshina Kannada Town PS 3,4,76,1,1,11,1
80,Dakshina Kannada Town PS 4,4,76,1,1,11,1
81,Dakshina Kannada Town PS 5,4,76,1,1,11,1
82,Dakshina Kannada Town PS 6,4,76,1,1,11,1
83,Davanagere District Police Office,2,,1,1,12,1
84,Davanagere Town PS 1,4,83,1,1,12,1
85,Davanagere Town PS 2,4,83,1,1,12,1
86,Davanagere Town PS 3,4,83,1,1,12,1
87,Davanagere Town PS 4,4,83,1,1,12,1
88,Davanagere Town PS 5,4,83,1,1,12,1
89,Davanagere Town PS 6,4,83,1,1,12,1
90,Davanagere Town PS 7,4,83,1,1,12,1
91,Davanagere Town PS 8,4,83,1,1,12,1
92,Davanagere Town PS 9,4,83,1,1,12,1
93,Davanagere Town PS 10,4,83,1,1,12,1
94,Dharwad District Police Office,2,,1,1,13,1
95,Dharwad Town PS 1,4,94,1,1,13,1
96,Dharwad Town PS 2,4,94,1,1,13,1
97,Dharwad Town PS 3,4,94,1,1,13,1
98,Dharwad Town PS 4,4,94,1,1,13,1
99,Gadag District Police Office,2,,1,1,14,1
100,Gadag Town PS 1,4,99,1,1,14,1
101,Gadag Town PS 2,4,99,1,1,14,1
102,Gadag Town PS 3,4,99,1,1,14,1
103,Gadag Town PS 4,4,99,1,1,14,1
104,Gadag Town PS 5,4,99,1,1,14,1
105,Gadag Town PS 6,4,99,1,1,14,1
106,Gadag Town PS 7,4,99,1,1,14,1
107,Gadag Town PS 8,4,99,1,1,14,1
108,Gadag Town PS 9,4,99,1,1,14,1
109,Hassan District Police Office,2,,1,1,15,1
110,Hassan Town PS 1,4,109,1,1,15,1
111,Hassan Town PS 2,4,109,1,1,15,1
112,Hassan Town PS 3,4,109,1,1,15,1
113,Hassan Town PS 4,4,109,1,1,15,1
114,Hassan Town PS 5,4,109,1,1,15,1
115,Hassan Town PS 6,4,109,1,1,15,1
116,Hassan Town PS 7,4,109,1,1,15,1
117,Haveri District Police Office,2,,1,1,16,1
118,Haveri Town PS 1,4,117,1,1,16,1
119,Haveri Town PS 2,4,117,1,1,16,1
120,Haveri Town PS 3,4,117,1,1,16,1
121,Haveri Town PS 4,4,117,1,1,16,1
122,Haveri Town PS 5,4,117,1,1,16,1
123,Haveri Town PS 6,4,117,1,1,16,1
124,Haveri Town PS 7,4,117,1,1,16,1
125,Haveri Town PS 8,4,117,1,1,16,1
126,Kalaburagi District Police Office,2,,1,1,17,1
127,Kalaburagi Town PS 1,4,126,1,1,17,1
128,Kalaburagi Town PS 2,4,126,1,1,17,1
129,Kalaburagi Town PS 3,4,126,1,1,17,1
130,Kalaburagi Town PS 4,4,126,1,1,17,1
131,Kodagu District Police Office,2,,1,1,18,1
132,Kodagu Town PS 1,4,131,1,1,18,1
133,Kodagu Town PS 2,4,131,1,1,18,1
134,Kodagu Town PS 3,4,131,1,1,18,1
135,Kodagu Town PS 4,4,131,1,1,18,1
136,Kodagu Town PS 5,4,131,1,1,18,1
137,Kodagu Town PS 6,4,131,1,1,18,1
138,Kodagu Town PS 7,4,131,1,1,18,1
139,Kolar District Police Office,2,,1,1,19,1
140,Kolar Town PS 1,4,139,1,1,19,1
141,Kolar Town PS 2,4,139,1,1,19,1
142,Kolar Town PS 3,4,139,1,1,19,1
143,Kolar Town PS 4,4,139,1,1,19,1
144,Koppal District Police Office,2,,1,1,20,1
145,Koppal Town PS 1,4,144,1,1,20,1
146,Koppal Town PS 2,4,144,1,1,20,1
147,Koppal Town PS 3,4,144,1,1,20,1
148,Koppal Town PS 4,4,144,1,1,20,1
149,Koppal Town PS 5,4,144,1,1,20,1
150,Koppal Town PS 6,4,144,1,1,20,1
151,Koppal Town PS 7,4,144,1,1,20,1
152,Koppal Town PS 8,4,144,1,1,20,1
153,Mandya District Police Office,2,,1,1,21,1
154,Mandya Town PS 1,4,153,1,1,21,1
155,Mandya Town PS 2,4,153,1,1,21,1
156,Mandya Town PS 3,4,153,1,1,21,1
157,Mandya Town PS 4,4,153,1,1,21,1
158,Mandya Town PS 5,4,153,1,1,21,1
159,Mandya Town PS 6,4,153,1,1,21,1
160,Mysuru District Police Office,2,,1,1,22,1
161,Mysuru Town PS 1,4,160,1,1,22,1
162,Mysuru Town PS 2,4,160,1,1,22,1
163,Mysuru Town PS 3,4,160,1,1,22,1
164,Mysuru Town PS 4,4,160,1,1,22,1
165,Mysuru Town PS 5,4,160,1,1,22,1
166,Mysuru Town PS 6,4,160,1,1,22,1
167,Mysuru Town PS 7,4,160,1,1,22,1
168,Mysuru Town PS 8,4,160,1,1,22,1
169,Mysuru Town PS 9,4,160,1,1,22,1
170,Mysuru Town PS 10,4,160,1,1,22,1
171,Raichur District Police Office,2,,1,1,23,1
172,Raichur Town PS 1,4,171,1,1,23,1
173,Raichur Town PS 2,4,171,1,1,23,1
174,Raichur Town PS 3,4,171,1,1,23,1
175,Raichur Town PS 4,4,171,1,1,23,1
176,Raichur Town PS 5,4,171,1,1,23,1
177,Raichur Town PS 6,4,171,1,1,23,1
