ID,ArrestSurrenderID,AccusedMasterID
1,1,1
2,2,5
3,3,6
4,3,7
5,4,9
6,5,8
7,6,11
8,7,23
9,8,27
10,9,28
11,10,32
12,11,33
13,12,34
14,13,38
15,14,39
16,14,38
17,15,41
18,16,44
19,17,47
20,18,51
21,18,50
22,19,58
23,20,59
24,21,60
25,22,65
26,23,69
27,24,75
28,25,78
29,26,76
30,27,80
31,27,81
32,28,81
33,29,84
34,30,83
35,31,86
36,32,95
37,32,94
38,33,103
39,33,102
40,34,101
41,35,104
42,36,107
43,37,106
44,38,110
45,39,109
46,40,111
47,41,112
48,42,113
49,43,118
50,44,117
51,45,119
52,46,125
53,46,126
54,47,124
55,47,125
56,48,129
57,49,130
58,50,132
59,51,134
60,51,135
61,52,141
62,53,143
63,54,146
64,54,147
65,55,149
66,56,150
67,57,158
68,58,160
69,59,161
70,60,166
71,61,168
72,62,169
73,63,171
74,64,170
75,64,171
76,65,179
77,66,182
78,67,185
79,68,187
80,69,188
81,70,194
82,71,205
83,72,207
84,73,211
85,74,210
86,75,213
87,76,214
88,77,216
89,78,218
90,79,220
91,80,223
92,81,225
93,82,226
94,83,230
95,83,229
96,84,229
97,84,231
98,85,232
99,86,235
100,87,238
101,88,237
102,88,238
103,89,241
104,90,242
105,91,243
106,92,250
107,92,248
108,93,248
109,93,247
110,94,265
111,95,267
112,96,272
113,97,280
114,98,278
115,98,279
116,99,282
117,100,289
118,101,292
119,102,297
120,103,299
121,104,300
122,105,301
123,106,302
124,107,304
125,108,303
126,109,308
127,110,307
128,111,310
129,112,312
130,113,311
131,113,312
132,114,314
133,114,313
134,115,319
135,116,320
136,117,321
137,118,325
138,119,331
139,120,335
140,121,337
141,122,338
142,123,340
143,124,341
144,125,343
145,126,347
146,127,349
147,128,352
148,129,354
149,130,356
150,131,357
151,132,359
152,133,361
153,134,360
154,135,362
155,136,363
156,136,362
157,137,371
158,138,376
159,139,381
160,140,380
161,141,385
162,142,388
163,143,387
164,143,386
165,144,390
166,145,397
167,146,398
168,147,400
169,148,401
170,149,402
171,150,404
172,151,409
173,152,411
174,153,416
175,154,417
176,155,419
177,156,420
178,157,424
179,158,431
180,159,435
181,160,440
182,161,447
183,162,444
184,163,448
185,164,451
186,165,453
187,166,455
188,167,454
189,168,456
190,169,458
191,170,457
192,171,459
193,172,468
194,173,471
195,174,477
196,175,478
197,176,484
198,177,486
199,178,485
200,179,491
201,180,493
202,181,495
203,182,501
204,182,502
205,183,500
206,184,504
207,185,505
208,186,507
209,187,511
210,188,514
211,189,519
212,190,520
213,191,527
214,192,528
215,193,529
216,194,537
217,195,540
218,196,541
219,197,544
220,198,546
221,199,548
222,200,553
223,201,560
224,201,557
225,202,561
226,203,564
227,204,563
228,205,566
229,206,570
230,207,569
231,208,577
232,209,576
233,210,579
234,211,580
235,212,585
236,213,587
237,213,586
238,214,589
239,214,588
240,215,588
241,216,592
242,217,591
243,218,595
244,219,594
245,219,595
246,220,598
247,221,599
248,222,600
249,223,601
250,223,600
251,224,605
252,225,606
253,226,616
254,227,617
255,228,627
256,229,629
257,229,630
258,230,632
259,231,651
260,232,653
261,233,655
262,234,657
263,235,656
264,236,663
265,237,664
266,238,665
267,238,664
268,239,666
269,240,667
270,241,668
271,242,675
272,243,676
273,244,678
274,245,684
275,245,681
276,246,685
277,247,687
278,248,688
279,249,695
280,250,697
281,251,698
282,252,699
283,253,703
284,254,705
285,255,707
286,256,714
287,257,725
288,258,735
289,259,736
290,260,738
291,261,744
292,261,745
293,262,747
294,263,753
295,264,751
296,265,758
297,265,756
298,266,756
299,266,758
300,267,759
301,268,766
302,269,769
303,270,772
304,271,776
305,271,775
306,272,781
307,272,782
308,273,782
309,274,787
310,275,789
